Task,Arm A model,A accuracy,A macro F1,A 95% CI,Arm B model,B accuracy,B macro F1,B 95% CI,Δ accuracy (B−A),Δ macro F1 (B−A),Majority baseline
Ticket classification,COMBINED (soft vote),0.9058,0.9009,"[0.886, 0.924]",B: k-NN (cosine) + context,0.8831,0.8793,"[0.863, 0.903]",-0.0227,-0.0216,0.2132
Resolver routing,COMBINED (majority vote),0.7489,0.6958,"[0.721, 0.776]",B: Linear SVM + context,0.7294,0.6888,"[0.700, 0.756]",-0.0195,-0.007,0.211
Resolution recommendation,TF-IDF cosine retrieval,0.8745,0.9036,—,"Hybrid semantic+lexical, category-filtered",0.9102,0.9183,—,0.0357,0.0147,—
